"BehaviorSpace results (NetLogo 6.2.2)"
"FFAR_ABMmodel_umbrella.nlogo"
"beef_baseline"
"01/26/2023 08:18:54:555 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","624","0","452"
"[run number]","wheat-model","beef-scenario","wheat-scenario","potato-model","peach-scenario","display-style","hide-turtles?","peach-model","beef-model","debug-mode","potato-scenario","[step]","potato-model","wheat-model","peach-model","beef-model","potato-scenario","wheat-scenario","peach-scenario","beef-scenario","beef-conventional_production-total-model-run","beef-grassfed_production-total-model-run","beef-colorado-source-id_production-total-model-run","beef-animal-welfare_production-total-model-run","min [assets-change] of beef_ranchers","max [assets-change] of beef_ranchers","mean [assets-change] of beef_ranchers","median [assets-change] of beef_ranchers","standard-deviation [assets-change] of beef_ranchers","min [assets-change] of beef_packing-houses","max [assets-change] of beef_packing-houses","mean [assets-change] of beef_packing-houses","median [assets-change] of beef_packing-houses","standard-deviation [assets-change] of beef_packing-houses","min [assets-change] of distributors","max [assets-change] of distributors","mean [assets-change] of distributors","median [assets-change] of distributors","min [assets-change] of dps_buyers","max [assets-change] of dps_buyers","mean [assets-change] of dps_buyers","median [assets-change] of dps_buyers","min [tls-initial] of beef_ranchers","max [tls-initial] of beef_ranchers","mean [tls-initial] of beef_ranchers","median [tls-initial] of beef_ranchers","standard-deviation [tls-initial] of beef_ranchers","min [tls-final] of beef_ranchers","max [tls-final] of beef_ranchers","mean [tls-final] of beef_ranchers","median [tls-final] of beef_ranchers","standard-deviation [tls-final] of beef_ranchers","min [tls-change] of beef_ranchers","max [tls-change] of beef_ranchers","mean [tls-change] of beef_ranchers","median [tls-change] of beef_ranchers","standard-deviation [tls-change] of beef_ranchers","delta-hei-low-income","delta-hei-high-income","beef_CO2-kg-eq-at-farm-model-run","beef_h2o-m3-at-farm-model-run","beef_CO2-kg-eq-at-Denver-model-run","beef_h2o-m3-at-Denver-model-run"
"1","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","50343600","2754000","2754000","2754000","0","373685.5509327457","11192.591493275548","0","47846.51919658171","0","1303214.3279679485","651607.1639839743","651607.1639839743","921511.6886456057","848385.2975294429","848385.2975294429","848385.2975294429","848385.2975294429","-5307910.426601096","-5307910.426601096","-5307910.426601096","-5307910.426601096","0","1","0.4920212765957457","0.45","0.23913804194317181","0","1","0.4920212765957457","0.45","0.23913804194317181","0","0","0","0","0","0","0","182747712","1.78447638288E7","1.60062336E7","1230044.2559999998"
"2","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","51572400","2708400","2708400","2708400","0","425290.3990210222","11353.11352863741","0","44500.61196150543","0","1323460.423509176","661730.211754588","661730.211754588","935827.8400953583","901083.7828484224","901083.7828484224","901083.7828484224","901083.7828484224","-5426122.221433349","-5426122.221433349","-5426122.221433349","-5426122.221433349","0","1","0.505851063829788","0.45","0.24975322870380356","0","1","0.505851063829788","0.45","0.24975322870380356","0","0","0","0","0","0","0","1.8627605472E8","1.821033596064E7","1.6673932799999999E7","1281355.488"
"3","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","52503600","2846400","2846400","2846400","0","462420.4956722411","11927.124911446705","0","50940.319517534685","0","1339104.447553349","669552.2237766745","669552.2237766745","946889.8355820385","845572.7442755646","845572.7442755646","845572.7442755646","845572.7442755646","-5548126.416856883","-5548126.416856883","-5548126.416856883","-5548126.416856883","0","1","0.49308510638297964","0.45","0.2558498222027196","0","1","0.49308510638297964","0.45","0.2558498222027196","0","0","0","0","0","0","0","1.9037567472000003E8","1.8594415602239996E7","1.7142249599999998E7","1317344.616"
"4","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","51994800","2937600","2937600","2937600","0","364526.4649636788","11736.063089735906","0","48133.28396900106","0","1222508.9719290948","611254.4859645474","611254.4859645474","864444.3841124575","815688.6350928036","815688.6350928036","815688.6350928036","815688.6350928036","-5347767.398327424","-5347767.398327424","-5347767.398327424","-5347767.398327424","0","1","0.47180851063829893","0.45","0.2522029464353193","0","1","0.47180851063829893","0.45","0.2522029464353193","0","0","0","0","0","0","0","1.8951227568000004E8","1.8487908509759996E7","1.67573952E7","1287769.392"
"5","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","51043200","2784000","2784000","2784000","0","320679.0584699595","11710.193914723492","0","48356.936579570145","0","1487088.7517468838","743544.3758734419","743544.3758734419","1051530.54058646","544074.51615915","544074.51615915","544074.51615915","544074.51615915","-5333437.951858058","-5333437.951858058","-5333437.951858058","-5333437.951858058","0","1","0.4765957446808524","0.45","0.2413671905905431","0","1","0.4765957446808524","0.45","0.2413671905905431","0","0","0","0","0","0","0","1.8521892479999998E8","1.80876127872E7","1.6511644799999999E7","1268884.008"
"6","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","49862400","2644800","2644800","2644800","0","604727.8413847022","11511.963674376608","0","53274.819861327844","0","1534325.191250923","767162.5956254615","767162.5956254615","1084931.747278874","762682.7226793447","762682.7226793447","762682.7226793447","762682.7226793447","-5543381.670104472","-5543381.670104472","-5543381.670104472","-5543381.670104472","0","1","0.5157801418439725","0.45","0.263613531214021","0","1","0.5157801418439725","0.45","0.263613531214021","0","0","0","0","0","0","0","1.8031616064000005E8","1.762278594048E7","16947504","1302378.8399999999"
"7","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","51286800","2760000","2760000","2760000","0","316846.3083151032","11851.926677496163","0","49296.73504882763","0","1286642.9784793924","643321.4892396962","643321.4892396962","909793.9750488354","857430.0650299818","857430.0650299818","857430.0650299818","857430.0650299818","-5486316.366563292","-5486316.366563292","-5486316.366563292","-5486316.366563292","0","1","0.4898936170212772","0.45","0.2575113362291353","0","1","0.4898936170212772","0.45","0.2575113362291353","0","0","0","0","0","0","0","1.857947784E8","1.8150804139199995E7","1.68269472E7","1293114.312"
"8","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","49471200","2740800","2740800","2740800","0","424175.5039598309","11694.314005809312","0","48105.76023841682","0","1266833.222476276","633416.611238138","633416.611238138","895786.362245381","691751.7148750968","691751.7148750968","691751.7148750968","691751.7148750968","-5256381.486989601","-5256381.486989601","-5256381.486989601","-5256381.486989601","0","1","0.48067375886524927","0.45","0.2522297150040341","0","1","0.48067375886524927","0.45","0.2522297150040341","0","0","0","0","0","0","0","1.7986615583999997E8","1.755695012928E7","1.6576559999999998E7","1273872.5999999999"
"9","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","54151200","2934000","2934000","2934000","0","681835.0349396938","11749.037451703221","0","54304.51192232779","0","1271298.1110857408","635649.0555428704","635649.0555428704","898943.5152583761","784337.5283693548","784337.5283693548","784337.5283693548","784337.5283693548","-5368864.200835403","-5368864.200835403","-5368864.200835403","-5368864.200835403","0","1","0.4985815602836887","0.45","0.2754448529011345","0","1","0.4985815602836887","0.45","0.2754448529011345","0","0","0","0","0","0","0","1.9633556879999998E8","1.91768532192E7","1.66785696E7","1281711.8159999999"
"10","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","49039200","2658000","2658000","2658000","0","286040.36471855955","11686.792462634756","0","43925.617621164965","0","1245172.7851202204","622586.3925601102","622586.3925601102","880470.1201074476","675116.2001636906","675116.2001636906","675116.2001636906","675116.2001636906","-5215964.459746912","-5215964.459746912","-5215964.459746912","-5215964.459746912","0","1","0.5015957446808521","0.45","0.24321235331999622","0","1","0.5015957446808521","0.45","0.24321235331999622","0","0","0","0","0","0","0","1.7780909999999997E8","1.73671191456E7","1.64096352E7","1261044.792"
