"BehaviorSpace results (NetLogo 6.2.2)"
"FFAR_ABMmodel_umbrella.nlogo"
"beef_colorado-source-id"
"01/26/2023 18:33:19:577 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","624","0","452"
"[run number]","wheat-model","beef-scenario","wheat-scenario","potato-model","peach-scenario","display-style","hide-turtles?","peach-model","beef-model","debug-mode","potato-scenario","[step]","potato-model","wheat-model","peach-model","beef-model","potato-scenario","wheat-scenario","peach-scenario","beef-scenario","beef-conventional_production-total-model-run","beef-grassfed_production-total-model-run","beef-colorado-source-id_production-total-model-run","beef-animal-welfare_production-total-model-run","min [assets-change] of beef_ranchers","max [assets-change] of beef_ranchers","mean [assets-change] of beef_ranchers","median [assets-change] of beef_ranchers","standard-deviation [assets-change] of beef_ranchers","min [assets-change] of beef_packing-houses","max [assets-change] of beef_packing-houses","mean [assets-change] of beef_packing-houses","median [assets-change] of beef_packing-houses","standard-deviation [assets-change] of beef_packing-houses","min [assets-change] of distributors","max [assets-change] of distributors","mean [assets-change] of distributors","median [assets-change] of distributors","min [assets-change] of dps_buyers","max [assets-change] of dps_buyers","mean [assets-change] of dps_buyers","median [assets-change] of dps_buyers","min [tls-initial] of beef_ranchers","max [tls-initial] of beef_ranchers","mean [tls-initial] of beef_ranchers","median [tls-initial] of beef_ranchers","standard-deviation [tls-initial] of beef_ranchers","min [tls-final] of beef_ranchers","max [tls-final] of beef_ranchers","mean [tls-final] of beef_ranchers","median [tls-final] of beef_ranchers","standard-deviation [tls-final] of beef_ranchers","min [tls-change] of beef_ranchers","max [tls-change] of beef_ranchers","mean [tls-change] of beef_ranchers","median [tls-change] of beef_ranchers","standard-deviation [tls-change] of beef_ranchers","delta-hei-low-income","delta-hei-high-income","beef_CO2-kg-eq-at-farm-model-run","beef_h2o-m3-at-farm-model-run","beef_CO2-kg-eq-at-Denver-model-run","beef_h2o-m3-at-Denver-model-run"
"1","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","53074800","2858400","2858400","2858400","0","646563.745572068","15476.486813465992","0","66189.47853790615","0","3211065.599443413","1605532.7997217064","1605532.7997217064","2270566.2602012833","0","0","0","0","-7575434.880840821","-7575434.880840821","-7575434.880840821","-7575434.880840821","0","1","0.5049645390070934","0.45","0.26087076773165696","0","1","0.5049645390070934","0.45","0.26087076773165696","0","0","0","0","0","0","0","1.9229010192E8","1.878494305824E7","1.43414712E7","1264174.128"
"2","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","55298400","3055200","3055200","3055200","0","1853639.6214880948","15593.54430674036","0","118147.48517718437","0","3499509.808210524","1749754.904105262","1749754.904105262","2474527.1162144956","0","0","0","0","-7896889.302711304","-7896889.302711304","-7896889.302711304","-7896889.302711304","0","1","0.5070921985815615","0.45","0.2507342640814631","0","1","0.5070921985815615","0.45","0.2507342640814631","0","0","0","0","0","0","0","2.0098282176E8","1.9619744238720004E7","1.4292482399999999E7","1259855.856"
"3","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","51706800","2858400","2858400","2858400","0","1554449.6576609248","16525.351071259796","0","100922.77037327936","0","3648888.4960296596","1824444.2480148298","1824444.2480148298","2580153.799336155","0","0","0","0","-8309037.498124922","-8309037.498124922","-8309037.498124922","-8309037.498124922","0","1","0.5134751773049656","0.45","0.26764289645385747","0","1","0.5134751773049656","0.45","0.26764289645385747","0","0","0","0","0","0","0","1.8794259792E8","1.8346466226239998E7","15615180","1376449.2"
"4","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","50256000","2730000","2730000","2730000","0","374003.0396322236","15559.71401608547","0","62254.879482392964","0","3108859.4365998865","1554429.7182999433","1554429.7182999433","2198295.5893755695","0","0","0","0","-7496698.789135989","-7496698.789135989","-7496698.789135989","-7496698.789135989","0","1","0.49503546099290857","0.45","0.2579901074366923","0","1","0.49503546099290857","0.45","0.2579901074366923","0","0","0","0","0","0","0","182271012","1.7801797632E7","1.4357800799999999E7","1265613.552"
"5","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","53581200","2923200","2923200","2923200","0","474882.47596875054","15517.21078907036","0","65677.41285181782","0","3224263.02574985","1612131.512874925","1612131.512874925","2279898.249836775","0","0","0","0","-7600116.468267692","-7600116.468267692","-7600116.468267692","-7600116.468267692","0","1","0.49574468085106477","0.45","0.25876034624059524","0","1","0.49574468085106477","0.45","0.25876034624059524","0","0","0","0","0","0","0","1.9443487056E8","1.898745480672E7","1.4419036799999999E7","1271011.392"
"6","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","51547200","2792400","2792400","2792400","0","521783.82922632026","15556.81077346252","0","64530.971587201944","0","3279274.048672411","1639637.0243362056","1639637.0243362056","2318796.9171853266","0","0","0","0","-7666294.686788838","-7666294.686788838","-7666294.686788838","-7666294.686788838","0","1","0.49273049645390166","0.45","0.26165091463764","0","1","0.49273049645390166","0.45","0.26165091463764","0","0","0","0","0","0","0","1.8689004431999996E8","1.825436778624E7","1.4357800799999999E7","1265613.552"
"7","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","52363200","2882400","2882400","2882400","0","971271.8666630401","15727.98559196728","0","74806.51321908586","0","3334764.627555387","1667382.3137776935","1667382.3137776935","2358034.681805446","0","0","0","0","-7770056.564490162","-7770056.564490162","-7770056.564490162","-7770056.564490162","0","1","0.4955673758865257","0.45","0.24864013942217686","0","1","0.4955673758865257","0.45","0.24864013942217686","0","0","0","0","0","0","0","1.9022694431999996E8","1.8571746474239998E7","14574168","1284685.92"
"8","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","51105600","2708400","2708400","2708400","0","640718.4354353591","15387.849376545671","0","68538.44536642285","0","3235509.6076866854","1617754.8038433427","1617754.8038433427","2287850.7841894813","0","0","0","0","-7574883.1318725655","-7574883.1318725655","-7574883.1318725655","-7574883.1318725655","0","1","0.50195035460993","0.45","0.2604159505050599","0","1","0.50195035460993","0.45","0.2604159505050599","0","0","0","0","0","0","0","1.8479256432E8","1.8060715357440002E7","1.43210592E7","1262374.848"
"9","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","49092000","2650800","2650800","2650800","0","336700.91951297375","15457.512585997483","0","56591.7388378539","0","3350178.7591116913","1675089.3795558456","1675089.3795558456","2368934.11875501","0","0","0","0","-7709197.30836298","-7709197.30836298","-7709197.30836298","-7709197.30836298","0","1","0.5067375886524833","0.45","0.274524490746796","0","1","0.5067375886524833","0.45","0.274524490746796","0","0","0","0","0","0","0","1.7791740623999998E8","1.737957632448E7","1.4312894399999999E7","1261655.136"
"10","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","50491200","2792400","2792400","2792400","0","433026.24346095306","15509.780091897628","0","64588.22724530748","0","3322459.86721447","1661229.933607235","1661229.933607235","2349333.902327508","0","0","0","0","-7696217.853129598","-7696217.853129598","-7696217.853129598","-7696217.853129598","0","1","0.48776595744680945","0.45","0.24618290623226866","0","1","0.48776595744680945","0.45","0.24618290623226866","0","0","0","0","0","0","0","1.8353407631999996E8","1.791589444224E7","14553756","1282886.64"
"11","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","50649600","2684400","2684400","2684400","0","510898.83882617694","15823.339667330192","0","65569.8599929241","0","3243752.4901590426","1621876.2450795213","1621876.2450795213","2293679.3822822087","0","0","0","0","-7705934.2763461545","-7705934.2763461545","-7705934.2763461545","-7705934.2763461545","0","1","0.5085106382978735","0.45","0.2535483028523489","0","1","0.5085106382978735","0.45","0.2535483028523489","0","0","0","0","0","0","0","1.8314508912E8","1.789966811904E7","1.45088496E7","1278928.224"
"12","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","51146400","2864400","2864400","2864400","0","412438.5576594205","15512.70847994922","0","62369.086346861346","0","3268503.9844330037","1634251.9922165019","1634251.9922165019","2311181.331727827","0","0","0","0","-7643087.775778688","-7643087.775778688","-7643087.775778688","-7643087.775778688","0","1","0.4861702127659586","0.45","0.2414816647533599","0","1","0.4861702127659586","0.45","0.2414816647533599","0","0","0","0","0","0","0","1.8621122352E8","1.817056665024E7","1.44027072E7","1269571.9679999999"
"13","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","51422400","2695200","2695200","2695200","0","463548.4910021378","15659.359216633748","0","58427.685772582234","0","3360269.957612888","1680134.978806444","1680134.978806444","2376069.6736455057","0","0","0","0","-7776209.256703602","-7776209.256703602","-7776209.256703602","-7776209.256703602","0","1","0.4966312056737596","0.45","0.2642676016580271","0","1","0.4966312056737596","0.45","0.2642676016580271","0","0","0","0","0","0","0","1.8569028576E8","1.8154068798720002E7","1.4643568799999999E7","1290803.4719999998"
"14","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","50722800","2724000","2724000","2724000","0","403977.5904744513","15038.659962194202","0","56256.9353068273","0","3279314.985008446","1639657.492504223","1639657.492504223","2318825.8635461335","0","0","0","0","-7520217.094347211","-7520217.094347211","-7520217.094347211","-7520217.094347211","0","1","0.5251773049645394","0.45","0.2707327682351539","0","1","0.5251773049645394","0.45","0.2707327682351539","0","0","0","0","0","0","0","1.837049256E8","1.7947696161599997E7","1.4210834399999999E7","1252658.736"
"15","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","53173200","3002400","3002400","3002400","0","1179914.9121270815","16255.668236781215","0","83983.14219193904","0","3311141.7819615873","1655570.8909807936","1655570.8909807936","2341330.807495147","0","0","0","0","-7895240.224733891","-7895240.224733891","-7895240.224733891","-7895240.224733891","0","1","0.4900709219858167","0.45","0.26110358848576437","0","1","0.4900709219858167","0.45","0.26110358848576437","0","0","0","0","0","0","0","1.9379266031999996E8","1.8905812386239998E7","1.49375016E7","1316713.104"
