"BehaviorSpace results (NetLogo 6.3.0)"
"FFAR_ABMmodel_umbrella.nlogo"
"beef_animal-welfare"
"11/12/2023 12:03:37:204 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","624","0","452"
"[run number]","wheat-model","beef-scenario","wheat-scenario","potato-model","peach-scenario","display-style","hide-turtles?","peach-model","beef-model","debug-mode","potato-scenario","[step]","potato-model","wheat-model","peach-model","beef-model","potato-scenario","wheat-scenario","peach-scenario","beef-scenario","beef-conventional_production-total-model-run","beef-grassfed_production-total-model-run","beef-colorado-source-id_production-total-model-run","beef-animal-welfare_production-total-model-run","min [assets-change] of beef_ranchers","max [assets-change] of beef_ranchers","mean [assets-change] of beef_ranchers","median [assets-change] of beef_ranchers","standard-deviation [assets-change] of beef_ranchers","min [assets-change] of beef_packing-houses","max [assets-change] of beef_packing-houses","mean [assets-change] of beef_packing-houses","median [assets-change] of beef_packing-houses","standard-deviation [assets-change] of beef_packing-houses","min [assets-change] of distributors","max [assets-change] of distributors","mean [assets-change] of distributors","median [assets-change] of distributors","min [assets-change] of dps_buyers","max [assets-change] of dps_buyers","mean [assets-change] of dps_buyers","median [assets-change] of dps_buyers","min [tls-initial] of beef_ranchers","max [tls-initial] of beef_ranchers","mean [tls-initial] of beef_ranchers","median [tls-initial] of beef_ranchers","standard-deviation [tls-initial] of beef_ranchers","min [tls-final] of beef_ranchers","max [tls-final] of beef_ranchers","mean [tls-final] of beef_ranchers","median [tls-final] of beef_ranchers","standard-deviation [tls-final] of beef_ranchers","min [tls-change] of beef_ranchers","max [tls-change] of beef_ranchers","mean [tls-change] of beef_ranchers","median [tls-change] of beef_ranchers","standard-deviation [tls-change] of beef_ranchers","delta-hei-low-income","delta-hei-high-income","beef_CO2-kg-eq-at-farm-model-run","beef_h2o-m3-at-farm-model-run","beef_CO2-kg-eq-at-Denver-model-run","beef_h2o-m3-at-Denver-model-run"
"1","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","73665600","73665600","73665600","73665600","0","608039.0408977813","17166.846094143446","0","67831.455743649","0","3260795.818449081","1630397.9092245405","1630397.9092245405","2305730.8352900837","0","0","0","0","-8101846.416997531","-8101846.416997531","-8101846.416997531","-8101846.416997531","0","1","0.5046099290780153","0.45","0.25591929814074016","0","1","0.5046099290780153","0.45","0.25591929814074016","0","0","0","0","0","0","0","9.364371072E8","9.44463710976E7","1.44843552E7","1276769.088"
"2","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","73334400","73334400","73334400","73334400","0","481494.747675253","18131.121706014157","0","71033.64191935181","0","3128583.888204623","1564291.9441023115","1564291.9441023115","2212242.8828604645","0","0","0","0","-8241560.209300613","-8241560.209300613","-8241560.209300613","-8241560.209300613","0","1","0.4822695035461005","0.45","0.24557541925031187","0","1","0.4822695035461005","0.45","0.24557541925031187","0","0","0","0","0","0","0","9.322268928000001E8","9.40217409024E7","1.4843606399999999E7","1308436.416"
"3","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","70292400","70292400","70292400","70292400","0","727403.1424198565","17569.749739475737","0","72012.33796750073","0","3103076.818492347","1551538.4092461735","1551538.4092461735","2194206.660898716","0","0","0","0","-8057746.245024507","-8057746.245024507","-8057746.245024507","-8057746.245024507","0","1","0.5177304964539019","0.45","0.2566991919583426","0","1","0.5177304964539019","0.45","0.2566991919583426","0","0","0","0","0","0","0","8.935569888000001E8","9.01216048704E7","1.4659898399999999E7","1292242.896"
"4","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","75847200","75847200","75847200","75847200","0","492140.86584755336","17787.22926139961","0","74916.62700952083","0","3085292.656673312","1542646.328336656","1542646.328336656","2181631.3594787577","0","0","0","0","-8101291.308387999","-8101291.308387999","-8101291.308387999","-8101291.308387999","0","1","0.49379432624113595","0.45","0.254892623201833","0","1","0.49379432624113595","0.45","0.254892623201833","0","0","0","0","0","0","0","9.641696064000001E8","9.724339173120001E7","1.4619074399999999E7","1288644.336"
"5","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","84631200","84631200","84631200","84631200","0","1803789.106742648","16898.47253131202","0","132369.91881509675","0","3383622.797888979","1691811.3989444894","1691811.3989444894","2392582.6253646957","0","0","0","0","-8148992.051718967","-8148992.051718967","-8148992.051718967","-8148992.051718967","0","1","0.4808510638297882","0.45","0.25583298978893365","0","1","0.4808510638297882","0.45","0.25583298978893365","0","0","0","0","0","0","0","1.0758318144E9","1.0850532299520001E8","1.44476136E7","1273530.3839999998"
"6","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","80104800","80104800","80104800","80104800","0","537639.2904258609","17426.209568541366","0","65069.34866861301","0","3293499.9031269713","1646749.9515634857","1646749.9515634857","2328856.1153383185","0","0","0","0","-8207691.001455636","-8207691.001455636","-8207691.001455636","-8207691.001455636","0","1","0.5093971631205683","0.45","0.27286927714906317","0","1","0.5093971631205683","0.45","0.27286927714906317","0","0","0","0","0","0","0","1.0182922176000001E9","1.0270204366080001E8","1.4541508799999999E7","1281807.072"
"7","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","72092400","72092400","72092400","72092400","0","369183.3835217003","17540.251576117484","0","64247.00309222109","0","3308520.408679401","1654260.2043397005","1654260.2043397005","2339477.216671292","0","0","0","0","-8254871.353144532","-8254871.353144532","-8254871.353144532","-8254871.353144532","0","1","0.49184397163120686","0.45","0.25815000973427626","0","1","0.49184397163120686","0.45","0.25815000973427626","0","0","0","0","0","0","0","9.164385888000001E8","9.24293776704E7","1.45660032E7","1283966.2079999999"
"8","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","79272000","79272000","79272000","79272000","0","474419.1024466439","17400.262206601714","0","67582.17104147095","0","3036031.2817584025","1518015.6408792012","1518015.6408792012","2146798.3072258523","0","0","0","0","-7942905.224020087","-7942905.224020087","-7942905.224020087","-7942905.224020087","0","1","0.4799645390070937","0.45","0.2563381583125739","0","1","0.4799645390070937","0.45","0.2563381583125739","0","0","0","0","0","0","0","1007705664","1.0163431411199999E8","1.42434936E7","1255537.584"
"9","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","81117600","81117600","81117600","81117600","0","696164.5291579654","17543.39217639045","0","74981.23877690712","0","3187690.362224618","1593845.181112309","1593845.181112309","2254037.4714520294","0","0","0","0","-8134926.955966724","-8134926.955966724","-8134926.955966724","-8134926.955966724","0","1","0.5039007092198593","0.45","0.25044948361478314","0","1","0.5039007092198593","0.45","0.25044948361478314","0","0","0","0","0","0","0","1.0311669311999999E9","1.0400055048959999E8","14227164","1254098.16"
"10","false","animal-welfare","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","animal-welfare","74366400","74366400","74366400","74366400","0","447712.6759496708","17428.05921600682","0","69319.96607321456","0","3196176.057839707","1598088.0289198535","1598088.0289198535","2260037.764364544","0","0","0","0","-8110888.756753631","-8110888.756753631","-8110888.756753631","-8110888.756753631","0","1","0.500531914893618","0.45","0.2541640418859033","0","1","0.500531914893618","0.45","0.2541640418859033","0","0","0","0","0","0","0","9.453456768000001E8","9.53448639744E7","14308812","1261295.28"
