"BehaviorSpace results (NetLogo 6.3.0)"
"FFAR_ABMmodel_umbrella.nlogo"
"beef_baseline"
"11/10/2023 14:55:06:382 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","624","0","452"
"[run number]","wheat-model","beef-scenario","wheat-scenario","potato-model","peach-scenario","display-style","hide-turtles?","peach-model","beef-model","debug-mode","potato-scenario","[step]","potato-model","wheat-model","peach-model","beef-model","potato-scenario","wheat-scenario","peach-scenario","beef-scenario","beef-conventional_production-total-model-run","beef-grassfed_production-total-model-run","beef-colorado-source-id_production-total-model-run","beef-animal-welfare_production-total-model-run","min [assets-change] of beef_ranchers","max [assets-change] of beef_ranchers","mean [assets-change] of beef_ranchers","median [assets-change] of beef_ranchers","standard-deviation [assets-change] of beef_ranchers","min [assets-change] of beef_packing-houses","max [assets-change] of beef_packing-houses","mean [assets-change] of beef_packing-houses","median [assets-change] of beef_packing-houses","standard-deviation [assets-change] of beef_packing-houses","min [assets-change] of distributors","max [assets-change] of distributors","mean [assets-change] of distributors","median [assets-change] of distributors","min [assets-change] of dps_buyers","max [assets-change] of dps_buyers","mean [assets-change] of dps_buyers","median [assets-change] of dps_buyers","min [tls-initial] of beef_ranchers","max [tls-initial] of beef_ranchers","mean [tls-initial] of beef_ranchers","median [tls-initial] of beef_ranchers","standard-deviation [tls-initial] of beef_ranchers","min [tls-final] of beef_ranchers","max [tls-final] of beef_ranchers","mean [tls-final] of beef_ranchers","median [tls-final] of beef_ranchers","standard-deviation [tls-final] of beef_ranchers","min [tls-change] of beef_ranchers","max [tls-change] of beef_ranchers","mean [tls-change] of beef_ranchers","median [tls-change] of beef_ranchers","standard-deviation [tls-change] of beef_ranchers","delta-hei-low-income","delta-hei-high-income","beef_CO2-kg-eq-at-farm-model-run","beef_h2o-m3-at-farm-model-run","beef_CO2-kg-eq-at-Denver-model-run","beef_h2o-m3-at-Denver-model-run"
"1","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","78169200","78169200","78169200","78169200","0","586907.4236167329","11274.48954164985","0","55572.939880262194","0","1306134.8116396428","653067.4058198214","653067.4058198214","923576.7824542054","901564.2002977533","901564.2002977533","901564.2002977533","901564.2002977533","-5387105.062682653","-5387105.062682653","-5387105.062682653","-5387105.062682653","0","1","0.491666666666668","0.45","0.2662372357835676","0","1","0.491666666666668","0.45","0.2662372357835676","0","0","0","0","0","0","0","9.936868704000001E8","1.0022041864320001E8","1.6312262399999999E7","1253561.9039999999"
"2","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","73297200","73297200","73297200","73297200","0","294566.9830157412","10966.978882754693","0","45547.09057174064","0","1554399.694400988","777199.847200494","777199.847200494","1099126.564585236","671479.377757849","671479.377757849","671479.377757849","671479.377757849","-5318567.117095661","-5318567.117095661","-5318567.117095661","-5318567.117095661","0","1","0.5088652482269511","0.45","0.26015213780065566","0","1","0.5088652482269511","0.45","0.26015213780065566","0","0","0","0","0","0","0","9.317540064E8","9.39740469312E7","1.61777952E7","1243228.392"
"3","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","75880800","75880800","75880800","75880800","0","329871.85735791945","11182.129849630965","0","45456.6333031259","0","1305722.3525582796","652861.1762791398","652861.1762791398","923285.1298408115","912585.5098980046","912585.5098980046","912585.5098980046","912585.5098980046","-5371668.480052217","-5371668.480052217","-5371668.480052217","-5371668.480052217","0","1","0.5019503546099303","0.45","0.2635740342824316","0","1","0.5019503546099303","0.45","0.2635740342824316","0","0","0","0","0","0","0","9.645967296000001E8","9.72864701568E7","1.6349356799999999E7","1256412.528"
"4","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","81540000","81540000","81540000","81540000","0","360549.99186713516","11366.650373205133","0","46420.28915287276","0","1111542.2278724336","555771.1139362168","555771.1139362168","785979.0469038005","850608.6127298183","850608.6127298183","850608.6127298183","850608.6127298183","-5167546.2458461","-5167546.2458461","-5167546.2458461","-5167546.2458461","0","1","0.49609929078014275","0.45","0.264142399451711","0","1","0.49609929078014275","0.45","0.264142399451711","0","0","0","0","0","0","0","1036536480","1.0454210783999999E8","1.61314272E7","1239665.112"
"5","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","78046800","78046800","78046800","78046800","0","393835.57091667166","11215.1809547598","0","46337.45090438979","0","1468564.425218333","734282.2126091665","734282.2126091665","1038431.8636812078","545117.1328163749","545117.1328163749","545117.1328163749","545117.1328163749","-5176362.587276971","-5176362.587276971","-5176362.587276971","-5176362.587276971","0","1","0.48386524822695165","0.45","0.26771131527334224","0","1","0.48386524822695165","0.45","0.26771131527334224","0","0","0","0","0","0","0","9.921309216000001E8","1.000634900928E8","1.63632672E7","1257481.5119999999"
"6","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","76710000","76710000","76710000","76710000","0","331707.02456478414","11797.854246326147","0","46983.77627539228","0","1489679.580922063","744839.7904610315","744839.7904610315","1053362.5334651251","871447.8157710247","871447.8157710247","871447.8157710247","871447.8157710247","-5688122.294157062","-5688122.294157062","-5688122.294157062","-5688122.294157062","0","1","0.479609929078015","0.45","0.25460357219763385","0","1","0.479609929078015","0.45","0.25460357219763385","0","0","0","0","0","0","0","975137520","9.834958416E7","1.7160796799999997E7","1318769.9279999998"
"7","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","77702400","77702400","77702400","77702400","0","250474.4404374738","11497.793379728233","0","37941.15017337998","0","1316708.5553207474","658354.2776603737","658354.2776603737","931053.5483136429","685447.0951894161","685447.0951894161","685447.0951894161","685447.0951894161","-5244533.383593526","-5244533.383593526","-5244533.383593526","-5244533.383593526","0","1","0.5118794326241144","0.45","0.2659348908937953","0","1","0.5118794326241144","0.45","0.2659348908937953","0","0","0","0","0","0","0","9.877529088000001E8","9.96219362304E7","1.6312262399999999E7","1253561.9039999999"
"8","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","78421200","78421200","78421200","78421200","0","358751.3307629854","11960.947965593166","0","47291.84782577605","0","1404646.8050375818","702323.4025187909","702323.4025187909","993235.2810140925","800564.2059320967","800564.2059320967","800564.2059320967","800564.2059320967","-5578198.337266951","-5578198.337266951","-5578198.337266951","-5578198.337266951","0","1","0.5148936170212776","0.45","0.26666816523644443","0","1","0.5148936170212776","0.45","0.26666816523644443","0","0","0","0","0","0","0","9.968902944000001E8","1.0054350683520001E8","1.6775942399999999E7","1289194.704"
"9","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","79591200","79591200","79591200","79591200","0","264757.3724403389","11220.320590744264","0","43731.32570648839","0","1227659.315096826","613829.657548413","613829.657548413","868086.2266917982","950297.9271415225","950297.9271415225","950297.9271415225","950297.9271415225","-5342087.64882823","-5342087.64882823","-5342087.64882823","-5342087.64882823","0","1","0.49787234042553297","0.45","0.26135237801782196","0","1","0.49787234042553297","0.45","0.26135237801782196","0","0","0","0","0","0","0","1.0117633344000001E9","1.020435591552E8","1.6395724799999999E7","1259975.808"
"10","false","baseline","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","baseline","78219600","78219600","78219600","78219600","0","331233.9339000916","11231.360162125307","0","46070.26777026735","0","1282023.6837599764","641011.8418799882","641011.8418799882","906527.6404284373","887068.3237553535","887068.3237553535","887068.3237553535","887068.3237553535","-5336335.573234667","-5336335.573234667","-5336335.573234667","-5336335.573234667","0","1","0.502304964539008","0.45","0.2666251568800577","0","1","0.502304964539008","0.45","0.2666251568800577","0","0","0","0","0","0","0","9.943275551999999E8","1.0028503628159998E8","1.63308096E7","1254987.216"
