"BehaviorSpace results (NetLogo 6.3.0)"
"FFAR_ABMmodel_umbrella.nlogo"
"beef_colorado-source-id"
"11/12/2023 08:27:36:157 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","624","0","452"
"[run number]","wheat-model","beef-scenario","wheat-scenario","potato-model","peach-scenario","display-style","hide-turtles?","peach-model","beef-model","debug-mode","potato-scenario","[step]","potato-model","wheat-model","peach-model","beef-model","potato-scenario","wheat-scenario","peach-scenario","beef-scenario","beef-conventional_production-total-model-run","beef-grassfed_production-total-model-run","beef-colorado-source-id_production-total-model-run","beef-animal-welfare_production-total-model-run","min [assets-change] of beef_ranchers","max [assets-change] of beef_ranchers","mean [assets-change] of beef_ranchers","median [assets-change] of beef_ranchers","standard-deviation [assets-change] of beef_ranchers","min [assets-change] of beef_packing-houses","max [assets-change] of beef_packing-houses","mean [assets-change] of beef_packing-houses","median [assets-change] of beef_packing-houses","standard-deviation [assets-change] of beef_packing-houses","min [assets-change] of distributors","max [assets-change] of distributors","mean [assets-change] of distributors","median [assets-change] of distributors","min [assets-change] of dps_buyers","max [assets-change] of dps_buyers","mean [assets-change] of dps_buyers","median [assets-change] of dps_buyers","min [tls-initial] of beef_ranchers","max [tls-initial] of beef_ranchers","mean [tls-initial] of beef_ranchers","median [tls-initial] of beef_ranchers","standard-deviation [tls-initial] of beef_ranchers","min [tls-final] of beef_ranchers","max [tls-final] of beef_ranchers","mean [tls-final] of beef_ranchers","median [tls-final] of beef_ranchers","standard-deviation [tls-final] of beef_ranchers","min [tls-change] of beef_ranchers","max [tls-change] of beef_ranchers","mean [tls-change] of beef_ranchers","median [tls-change] of beef_ranchers","standard-deviation [tls-change] of beef_ranchers","delta-hei-low-income","delta-hei-high-income","beef_CO2-kg-eq-at-farm-model-run","beef_h2o-m3-at-farm-model-run","beef_CO2-kg-eq-at-Denver-model-run","beef_h2o-m3-at-Denver-model-run"
"1","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","78210000","78210000","78210000","78210000","0","1849839.0364570161","16050.090977305497","0","117320.91374382468","0","3586882.1934137074","1793441.0967068537","1793441.0967068537","2536308.7222801098","0","0","0","0","-8113007.849013859","-8113007.849013859","-8113007.849013859","-8113007.849013859","0","1","0.48847517730496565","0.45","0.2522852444701642","0","1","0.48847517730496565","0.45","0.2522852444701642","0","0","0","0","0","0","0","994205520","1.0027272816E8","15472296","1363854.24"
"2","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","80790000","80790000","80790000","80790000","0","425736.7788980392","15869.379867373633","0","58227.78087965744","0","3452240.665965489","1726120.3329827446","1726120.3329827446","2441102.7851921604","0","0","0","0","-7927405.788564853","-7927405.788564853","-7927405.788564853","-7927405.788564853","0","1","0.5076241134751788","0.45","0.27629416061276624","0","1","0.5076241134751788","0.45","0.27629416061276624","0","0","0","0","0","0","0","1027002480","1.0358053583999999E8","1.4643568799999999E7","1290803.4719999998"
"3","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","73850400","73850400","73850400","73850400","0","458541.7576940581","15494.198119595769","0","56996.18644937441","0","3311659.987031867","1655829.9935159334","1655829.9935159334","2341697.233814387","0","0","0","0","-7681023.856757872","-7681023.856757872","-7681023.856757872","-7681023.856757872","0","1","0.5031914893617031","0.45","0.27149335048563555","0","1","0.5031914893617031","0.45","0.27149335048563555","0","0","0","0","0","0","0","9.387862848000001E8","9.46833024384E7","1.44680256E7","1275329.6639999999"
"4","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","76960800","76960800","76960800","76960800","0","527915.2933500779","16021.575339252178","0","65298.25191660904","0","3322629.96316381","1661314.981581905","1661314.981581905","2349454.1783267385","0","0","0","0","-7840714.208832922","-7840714.208832922","-7840714.208832922","-7840714.208832922","0","1","0.49716312056737677","0.45","0.28442819266826136","0","1","0.49716312056737677","0.45","0.28442819266826136","0","0","0","0","0","0","0","9.783256896000001E8","9.867113383680001E7","1.47292992E7","1298360.4479999999"
"5","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","76633200","76633200","76633200","76633200","0","470693.91875365237","16063.477911023569","0","62366.52796866648","0","3452845.7603955735","1726422.8801977867","1726422.8801977867","2441530.651566931","0","0","0","0","-7982746.531304219","-7982746.531304219","-7982746.531304219","-7982746.531304219","0","1","0.4898936170212777","0.45","0.2506482471563069","0","1","0.4898936170212777","0.45","0.2506482471563069","0","0","0","0","0","0","0","9.741612384000001E8","9.825111918720001E7","1.50599736E7","1327508.784"
"6","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","82177200","82177200","82177200","82177200","0","665246.4798613738","15861.655526147148","0","71458.2656131491","0","3082776.7691589566","1541388.3845794783","1541388.3845794783","2179852.358356654","0","0","0","0","-7555763.627532453","-7555763.627532453","-7555763.627532453","-7555763.627532453","0","1","0.48138297872340524","0.45","0.26108697394828584","0","1","0.48138297872340524","0.45","0.26108697394828584","0","0","0","0","0","0","0","1.0446365664000001E9","1.053590594112E8","14533344","1281087.3599999999"
"7","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","72530400","72530400","72530400","72530400","0","448899.3387845314","15703.19715143548","0","62427.76398797098","0","3317084.2699251333","1658542.1349625667","1658542.1349625667","2345532.78103129","0","0","0","0","-7745385.866629936","-7745385.866629936","-7745385.866629936","-7745385.866629936","0","1","0.5106382978723415","0.45","0.25202443751463005","0","1","0.5106382978723415","0.45","0.25202443751463005","0","0","0","0","0","0","0","9.220064448000001E8","9.29909357184E7","1.45292616E7","1280727.504"
"8","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","73954800","73954800","73954800","73954800","0","424558.353981647","15486.611004649134","0","62231.76529276218","0","3288936.268435086","1644468.134217543","1644468.134217543","2325629.1383008286","0","0","0","0","-7656160.571746141","-7656160.571746141","-7656160.571746141","-7656160.571746141","0","1","0.506205673758866","0.45","0.2676618150343462","0","1","0.506205673758866","0.45","0.2676618150343462","0","0","0","0","0","0","0","9.401134176000001E8","9.48171532608E7","1.4439448799999999E7","1272810.672"
"9","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","75241200","75241200","75241200","75241200","0","307779.9045959475","15276.649545737766","0","55758.2990995755","0","3292791.6252110894","1646395.8126055447","1646395.8126055447","2328355.287221034","0","0","0","0","-7600806.79710914","-7600806.79710914","-7600806.79710914","-7600806.79710914","0","1","0.500354609929079","0.45","0.2787233512723852","0","1","0.500354609929079","0.45","0.2787233512723852","0","0","0","0","0","0","0","9.564661344000001E8","9.646644155520001E7","1.42189992E7","1253378.4479999999"
"10","false","colorado-source-id","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","colorado-source-id","74575200","74575200","74575200","74575200","0","1406956.6033614795","16471.633276594785","0","98377.29694982803","0","3495863.5964050526","1747931.7982025263","1747931.7982025263","2471948.8551212046","0","0","0","0","-8140864.180404784","-8140864.180404784","-8140864.180404784","-8140864.180404784","0","1","0.46560283687943355","0.45","0.2516942414245918","0","1","0.46560283687943355","0.45","0.2516942414245918","0","0","0","0","0","0","0","9.479999424000001E8","9.56125656192E7","1.5558026399999999E7","1371411.216"
