"BehaviorSpace results (NetLogo 6.3.0)"
"FFAR_ABMmodel_umbrella.nlogo"
"beef_grassfed"
"11/11/2023 08:47:19:517 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","624","0","452"
"[run number]","wheat-model","beef-scenario","wheat-scenario","potato-model","peach-scenario","display-style","hide-turtles?","peach-model","beef-model","debug-mode","potato-scenario","[step]","potato-model","wheat-model","peach-model","beef-model","potato-scenario","wheat-scenario","peach-scenario","beef-scenario","beef-conventional_production-total-model-run","beef-grassfed_production-total-model-run","beef-colorado-source-id_production-total-model-run","beef-animal-welfare_production-total-model-run","min [assets-change] of beef_ranchers","max [assets-change] of beef_ranchers","mean [assets-change] of beef_ranchers","median [assets-change] of beef_ranchers","standard-deviation [assets-change] of beef_ranchers","min [assets-change] of beef_packing-houses","max [assets-change] of beef_packing-houses","mean [assets-change] of beef_packing-houses","median [assets-change] of beef_packing-houses","standard-deviation [assets-change] of beef_packing-houses","min [assets-change] of distributors","max [assets-change] of distributors","mean [assets-change] of distributors","median [assets-change] of distributors","min [assets-change] of dps_buyers","max [assets-change] of dps_buyers","mean [assets-change] of dps_buyers","median [assets-change] of dps_buyers","min [tls-initial] of beef_ranchers","max [tls-initial] of beef_ranchers","mean [tls-initial] of beef_ranchers","median [tls-initial] of beef_ranchers","standard-deviation [tls-initial] of beef_ranchers","min [tls-final] of beef_ranchers","max [tls-final] of beef_ranchers","mean [tls-final] of beef_ranchers","median [tls-final] of beef_ranchers","standard-deviation [tls-final] of beef_ranchers","min [tls-change] of beef_ranchers","max [tls-change] of beef_ranchers","mean [tls-change] of beef_ranchers","median [tls-change] of beef_ranchers","standard-deviation [tls-change] of beef_ranchers","delta-hei-low-income","delta-hei-high-income","beef_CO2-kg-eq-at-farm-model-run","beef_h2o-m3-at-farm-model-run","beef_CO2-kg-eq-at-Denver-model-run","beef_h2o-m3-at-Denver-model-run"
"1","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","75522000","75522000","75522000","75522000","0","637112.7120865735","20906.873635356606","0","87253.58925803476","0","3261845.497182301","1630922.7485911504","1630922.7485911504","2306473.0702404105","0","0","0","0","-9157583.862352865","-9157583.862352865","-9157583.862352865","-9157583.862352865","0","1","0.5010638297872351","0.45","0.2481223499356594","0","1","0.5010638297872351","0.45","0.2481223499356594","0","0","0","0","0","0","0","960035664","9.682645411199999E7","1.48313592E7","1307356.848"
"2","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","75943200","75943200","75943200","75943200","0","762720.6212134127","19434.190781467296","0","80111.40425391747","0","3306786.5423693536","1653393.2711846768","1653393.2711846768","2338251.1880457867","0","0","0","0","-8787228.34274313","-8787228.34274313","-8787228.34274313","-8787228.34274313","0","1","0.502127659574469","0.45","0.25833936826708764","0","1","0.502127659574469","0.45","0.25833936826708764","0","0","0","0","0","0","0","9.653899584000001E8","9.73664729472E7","14267988","1257696.72"
"3","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","75135600","75135600","75135600","75135600","0","781631.410676306","19451.67950070681","0","81500.29464869566","0","3320470.703692597","1660235.3518462984","1660235.3518462984","2347927.3513123025","0","0","0","0","-8805844.322891919","-8805844.322891919","-8805844.322891919","-8805844.322891919","0","1","0.5092198581560291","0.45","0.2682885548125302","0","1","0.5092198581560291","0.45","0.2682885548125302","0","0","0","0","0","0","0","9.551237471999999E8","9.633105221759999E7","1.4312894399999999E7","1261655.136"
"4","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","82500000","82500000","82500000","82500000","0","885461.3858707043","20032.48681969548","0","95112.47465706381","0","3294568.77275412","1647284.38637706","1647284.38637706","2329611.92029988","0","0","0","0","-8943730.055908246","-8943730.055908246","-8943730.055908246","-8943730.055908246","0","1","0.49024822695035564","0.45","0.25582663881026746","0","1","0.49024822695035564","0.45","0.25582663881026746","0","0","0","0","0","0","0","1048740000","105772920","1.4419036799999999E7","1271011.392"
"5","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","76666800","76666800","76666800","76666800","0","465030.27308641357","19974.615659892","0","76194.30208983575","0","3336795.1047695177","1668397.5523847588","1668397.5523847588","2359470.446012602","0","0","0","0","-8969636.720859058","-8969636.720859058","-8969636.720859058","-8969636.720859058","0","1","0.5166666666666673","0.45","0.27122804069511675","0","1","0.5166666666666673","0.45","0.27122804069511675","0","0","0","0","0","0","0","9.745883616000001E8","9.82941976128E7","14553756","1282886.64"
"6","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","75374400","75374400","75374400","75374400","0","797639.8033982399","19480.75428468638","0","86065.57729326411","0","3250137.332764269","1625068.6663821344","1625068.6663821344","2298194.147785173","0","0","0","0","-8743710.041045826","-8743710.041045826","-8743710.041045826","-8743710.041045826","0","1","0.47978723404255424","0.45","0.24769246252769592","0","1","0.47978723404255424","0.45","0.24769246252769592","0","0","0","0","0","0","0","9.581593728000001E8","9.66372167424E7","1.4337388799999999E7","1263814.2719999999"
"7","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","79557600","79557600","79557600","79557600","0","1701863.3992417308","19304.98132935759","0","117506.16413889128","0","3364918.233595827","1682459.1167979136","1682459.1167979136","2379356.501113869","0","0","0","0","-8808922.968474666","-8808922.968474666","-8808922.968474666","-8808922.968474666","0","1","0.4969858156028379","0.45","0.26047409515436576","0","1","0.4969858156028379","0.45","0.26047409515436576","0","0","0","0","0","0","0","1.0113362111999999E9","1.020004807296E8","1.4476190399999999E7","1276049.376"
"8","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","75523200","75523200","75523200","75523200","0","785361.6260895284","20087.1869477604","0","90524.12650940046","0","3074623.3711046455","1537311.6855523228","1537311.6855523228","2174087.0353027377","0","0","0","0","-8739210.090373078","-8739210.090373078","-8739210.090373078","-8739210.090373078","0","1","0.48971631205673877","0.45","0.26373431919427964","0","1","0.48971631205673877","0.45","0.26373431919427964","0","0","0","0","0","0","0","9.600509184000001E8","9.68279926272E7","1.4496602399999999E7","1277848.656"
"9","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","79936800","79936800","79936800","79936800","0","866016.2095984374","19633.169108818765","0","93475.14774987043","0","3307414.9436805947","1653707.4718402973","1653707.4718402973","2338695.5348742716","0","0","0","0","-8843968.632367488","-8843968.632367488","-8843968.632367488","-8843968.632367488","0","1","0.4886524822695047","0.45","0.2534016823335527","0","1","0.4886524822695047","0.45","0.2534016823335527","0","0","0","0","0","0","0","1.0161566016000001E9","1.024866515328E8","1.43822952E7","1267772.6879999998"
"10","false","grassfed","baseline","false","baseline","organic vs conventional","true","false","true","false","baseline","521","false","false","false","true","baseline","baseline","baseline","grassfed","74935200","74935200","74935200","74935200","0","405324.29411117424","19614.288292080397","0","73441.21148033952","0","3210687.9230094487","1605343.9615047243","1605343.9615047243","2270299.202633733","0","0","0","0","-8741917.221376121","-8741917.221376121","-8741917.221376121","-8741917.221376121","0","1","0.5033687943262422","0.45","0.2524210150617506","0","1","0.5033687943262422","0.45","0.2524210150617506","0","0","0","0","0","0","0","9.525762624000001E8","9.607412017920001E7","1.43618832E7","1265973.408"
